iter	Passed	Remaining
0	137	137158
1	140	69876
2	141	47143
3	143	35843
4	145	29037
5	146	24332
6	147	20991
7	149	18543
8	150	16604
9	151	15022
10	153	13783
11	154	12704
12	155	11784
13	156	11048
14	158	10395
15	159	9818
16	160	9306
17	162	8840
18	163	8438
19	165	8086
20	165	7731
21	166	7416
22	167	7124
23	168	6859
24	169	6618
25	170	6392
26	171	6181
27	172	5988
28	173	5799
29	174	5632
30	175	5470
31	176	5335
32	177	5196
33	178	5063
34	178	4934
35	179	4810
36	180	4699
37	181	4589
38	182	4487
39	182	4386
40	183	4288
41	184	4199
42	184	4110
43	185	4025
44	185	3945
45	186	3868
46	187	3793
47	187	3724
48	188	3659
49	189	3594
50	189	3532
51	190	3475
52	191	3420
53	192	3365
54	192	3310
55	193	3259
56	194	3210
57	194	3163
58	195	3116
59	196	3071
60	196	3027
61	197	2985
62	198	2945
63	198	2908
64	199	2870
65	200	2833
66	200	2795
67	201	2756
68	201	2722
69	202	2688
70	203	2657
71	203	2625
72	204	2597
73	205	2568
74	206	2540
75	206	2513
76	207	2488
77	208	2461
78	208	2435
79	209	2408
80	210	2384
81	210	2359
82	211	2333
83	211	2310
84	212	2285
85	213	2263
86	213	2239
87	213	2217
88	214	2197
89	215	2176
90	215	2154
91	216	2134
92	216	2115
93	217	2096
94	218	2077
95	218	2058
96	219	2039
97	219	2021
98	220	2005
99	220	1988
100	221	1972
101	221	1953
102	222	1938
103	223	1922
104	223	1907
105	224	1892
106	224	1877
107	225	1862
108	226	1848
109	226	1833
110	227	1820
111	227	1807
112	228	1793
113	229	1781
114	229	1768
115	230	1755
116	230	1743
117	231	1730
118	232	1718
119	232	1706
120	233	1695
121	233	1683
122	234	1669
123	234	1658
124	235	1647
125	235	1635
126	236	1624
127	236	1612
128	237	1603
129	238	1593
130	238	1584
131	239	1575
132	240	1566
133	240	1557
134	241	1547
135	242	1538
136	242	1528
137	243	1518
138	243	1509
139	244	1500
140	244	1491
141	245	1483
142	246	1474
143	246	1465
144	247	1457
145	247	1449
146	248	1441
147	249	1433
148	249	1425
149	250	1417
150	250	1410
151	251	1402
152	252	1396
153	252	1389
154	253	1382
155	254	1376
156	254	1369
157	255	1361
158	256	1354
159	256	1347
160	257	1340
161	257	1333
162	258	1326
163	258	1319
164	259	1313
165	260	1306
166	260	1299
167	261	1293
168	261	1286
169	262	1280
170	262	1274
171	263	1268
172	264	1262
173	264	1255
174	265	1249
175	265	1243
176	266	1238
177	266	1232
178	267	1227
179	268	1222
180	268	1215
181	269	1210
182	269	1204
183	270	1199
184	271	1194
185	271	1188
186	272	1183
187	272	1178
188	273	1173
189	273	1167
190	274	1162
191	275	1157
192	275	1152
193	276	1147
194	276	1142
195	277	1137
196	277	1132
197	278	1127
198	278	1123
199	279	1118
200	280	1113
201	280	1109
202	281	1104
203	281	1099
204	282	1095
205	283	1091
206	283	1087
207	284	1083
208	285	1079
209	285	1074
210	286	1070
211	286	1066
212	287	1061
213	288	1057
214	288	1053
215	289	1049
216	289	1045
217	290	1041
218	290	1037
219	291	1033
220	292	1029
221	292	1025
222	293	1021
223	293	1017
224	294	1013
225	294	1009
226	295	1006
227	296	1002
228	296	998
229	297	995
230	297	991
231	298	988
232	299	985
233	299	981
234	300	978
235	301	974
236	301	971
237	302	967
238	302	963
239	303	960
240	303	956
241	304	953
242	305	950
243	305	946
244	306	943
245	306	939
246	307	936
247	307	933
248	308	929
249	308	926
250	309	923
251	310	920
252	310	916
253	311	913
254	311	910
255	312	907
256	312	904
257	313	902
258	314	899
259	315	897
260	315	894
261	316	891
262	317	888
263	317	885
264	318	882
265	318	879
266	319	876
267	319	873
268	320	870
